id	day	nominal	time	sum
1	2014-01-06	1 сом	0:45:24	1
2	2014-01-06	1 сом	4:24:49	1
3	2014-01-06	1 сом	18:05:02	1
4	2014-01-06	1 сом	1:48:54	1
5	2014-01-06	1 сом	16:03:01	1
6	2014-01-06	1 сом	23:38:04	1
7	2014-01-06	1 сом	12:58:57	1
8	2014-01-06	1 сом	6:00:25	1
9	2014-01-06	1 сом	2:13:05	1
10	2014-01-06	1 сом	23:39:46	1
11	2014-01-06	1 сом	5:39:06	1
12	2014-01-06	1 сом	19:25:02	1
13	2014-01-06	1 сом	19:33:42	1
14	2014-01-06	1 сом	11:20:38	1
15	2014-01-06	1 сом	20:12:49	1
16	2014-01-06	1 сом	4:22:17	1
17	2014-01-06	1 сом	20:05:04	1
18	2014-01-06	1 сом	23:24:15	1
19	2014-01-06	1 сом	5:19:10	1
20	2014-01-06	1 сом	3:49:55	1
21	2014-01-06	1 сом	12:12:40	1
22	2014-01-06	1 сом	19:03:52	1
23	2014-01-06	1 сом	20:15:23	1
24	2014-01-06	1 сом	14:36:20	1
25	2014-01-06	1 сом	7:42:14	1
26	2014-01-06	1 сом	3:48:06	1
27	2014-01-06	1 сом	8:48:24	1
28	2014-01-06	1 сом	14:50:51	1
29	2014-01-06	1 сом	23:14:32	1
30	2014-01-06	1 сом	6:50:39	1
31	2014-01-06	1 сом	19:46:55	1
32	2014-01-06	1 сом	8:17:13	1
33	2014-01-06	1 сом	1:29:06	1
34	2014-01-06	1 сом	16:42:23	1
35	2014-01-06	1 сом	6:04:25	1
36	2014-01-06	1 сом	16:14:36	1
37	2014-01-06	1 сом	10:50:41	1
38	2014-01-06	1 сом	0:57:07	1
39	2014-01-06	1 сом	4:45:10	1
40	2014-01-06	1 сом	5:10:08	1
41	2014-01-06	1 сом	8:25:48	1
42	2014-01-06	1 сом	16:53:10	1
43	2014-01-06	1 сом	23:23:29	1
44	2014-01-06	1 сом	15:21:07	1
45	2014-01-06	1 сом	1:58:06	1
46	2014-01-06	1 сом	21:20:39	1
47	2014-01-06	1 сом	23:11:35	1
48	2014-01-06	1 сом	3:58:29	1
49	2014-01-06	1 сом	7:58:06	1
50	2014-01-06	1 сом	13:16:38	1
51	2014-01-06	1 сом	11:48:56	1
52	2014-01-06	1 сом	6:25:16	1
53	2014-01-06	1 сом	7:40:48	1
54	2014-01-06	1 сом	20:04:27	1
55	2014-01-06	1 сом	15:47:38	1
56	2014-01-06	1 сом	7:39:59	1
57	2014-01-06	1 сом	21:40:33	1
58	2014-01-06	1 сом	21:56:17	1
59	2014-01-06	1 сом	18:31:19	1
60	2014-01-06	1 сом	23:00:01	1
61	2014-01-06	1 сом	12:17:16	1
62	2014-01-06	1 сом	16:57:15	1
63	2014-01-06	1 сом	9:48:43	1
64	2014-01-06	1 сом	1:44:15	1
65	2014-01-06	1 сом	13:44:24	1
66	2014-01-06	1 сом	12:09:40	1
67	2014-01-06	1 сом	16:16:33	1
68	2014-01-06	1 сом	18:02:58	1
69	2014-01-06	1 сом	18:49:40	1
70	2014-01-06	1 сом	21:29:33	1
71	2014-01-06	1 сом	1:01:22	1
72	2014-01-06	1 сом	6:46:42	1
73	2014-01-06	1 сом	14:10:40	1
74	2014-01-06	1 сом	4:45:40	1
75	2014-01-06	1 сом	19:34:50	1
76	2014-01-06	1 сом	0:02:28	1
77	2014-01-06	1 сом	22:42:01	1
78	2014-01-06	1 сом	6:45:06	1
79	2014-01-06	1 сом	8:42:17	1
80	2014-01-06	1 сом	21:44:19	1
81	2014-01-06	1 сом	11:26:43	1
82	2014-01-06	1 сом	12:35:48	1
83	2014-01-06	1 сом	2:24:17	1
84	2014-01-06	1 сом	20:16:21	1
85	2014-01-06	1 сом	21:16:01	1
86	2014-01-06	1 сом	1:02:07	1
87	2014-01-06	1 сом	7:40:14	1
88	2014-01-06	1 сом	10:00:47	1
89	2014-01-06	1 сом	20:26:46	1
90	2014-01-06	1 сом	17:54:41	1
91	2014-01-06	1 сом	15:43:12	1
92	2014-01-06	1 сом	20:36:14	1
93	2014-01-06	1 сом	15:31:46	1
